,text_id,annotators_id,text,initial_paragraph,topic,is_noise_or_spam_text,related_to_election_2024,toxicity,polarized,profanity_obscenity,threat_incitement_to_violence,insults,identity_attack,sexually_explicit,agreement_is_noise_or_spam_text,agreement_related_to_election_2024,agreement_toxicity,agreement_polarized,agreement_profanity_obscenity,agreement_threat_incitement_to_violence,agreement_insults,agreement_identity_attack,agreement_sexually_explicit,cleaned_text
2,1-100,"['7', '15', '32']","Gini aja deh @KPU_ID usul aja nih. Gimana kalo misalnya gak usah ada debat aja kalo ga boleh dikritik ? Diubah jadi lomba joget siapa yang paling  GEndut SeMpOYongan 😂🤦👎 Menarik gak ? Atur lah, kalian kan penguasa.. 😁",,Disabilitas,0,0,1,0,0,0,1,0,0,True,False,False,True,True,True,False,True,True,"Gini aja deh @KPU_ID usul nih. Gimana kalau misalnya tidak usah ada debat kalau tidak boleh dikritik? Diubah jadi lomba joget siapa yang paling gendut semponyongan 😂🤦👎 Menarik gak? Atur lah, kalian kan penguasa.. 😁"
19,1-1015,"['10', '18', '32']",Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,"NARASI: “JAGA² SAJA,JIKA DOKTER² MAU SUNTIK KITA, KELUARGA KITA ATAU TETANGGA DENGAN ALASAN MAU PENCEGAHAN VAKSIN ATAU ANTI VIRUS,ADA INDIKASI RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER DR CHINA TIONGKOK DISELUNDUPKAN DIPELABUHAN-PELABUHAN..RAKYAT INDONESIA KUDU BERHATI-HATI JIKA PEMERINTAH MEMBERIKAN KEBIJAKAN2 WAJIB TOLAK MENTAH2 KARENA INI ADA RENCANA PEMBUNUHAN MASSAL UNTUK WARGA PRIBUMI..MEREKA TAU JIKA ANIES SAMPAI NAIK JADI PRESIDEN MAKA PROYEK-PROYEK MEREKA CHINA TIONGKOK AKAN BANGKRUT!!WASPADALAH INI DOKTER-DOKTER PESANAN DR TIONGKOK SENGAJA UNTUK MEMBANTAI RAKYAT INDONESIA SECARA PERLAHAN-LAHAN..DR PIHAK RT..RW ..LURAH..CAMAT..WALIKOTA WAJIB MENOLAKNYA DEMI NYAWA ANAK-ANAK BANGSA..REZIM JOKOWI LICIK MENGHALALKAN BERMACAM CARA UNTUK MEMULUSKAN PROYEK2 OBOR MILIK CHINA TIONGKOK!!. SEJAK ENGKOH JOKO WIE MENGUASAI R1, RS PEMERINTAH SDH MULAI BYK DIISI DOKTER2 CINA, TERUTAMA DI RSCM, ADA KAH KORELASINYA DGN MENDTGKAN LSG DOKTER2 KOMUNIS CINA RRCTOOOLOOONG DI VIRALKAN”.",Tionghoa,0,0,1,1,0,0,0,0,0,True,False,True,True,True,True,False,False,True,Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”
20,1-1016,"['10', '18']",Video “Tentara Cina Komunis Tiongkok Masuk Indonesia”,"Akun Facebook Imho Walleye (fb.com/100018182814077) pada 27 Oktober 2023 mengunggah sebuah video dengan narasi “Apakah ini memang benar di bandara indonesia ?? Ada yg tau video aslinya kah ?”

Di video tersebut juga terdapat narasi:

“SAMPAI SEKARANG BELUM ADA SEORANG PEJABAT INDONESIA YANG BISA MENJELAS SIAPA ORANG-ORANG INI DAN UNTUK APA MEREKA DI DATANGKAN KE NKRI SERAGAMNYA JELAS PERLENGKAPANNYA JELAS TERLIHAT” dan “APAKAH VIDEO INI BENAR ??? BAGAIMANA BISA TENTARA TIONGKOK BISA MASUK INDONESIA DAN UNTUK APA TENTARA CINA KOMUNIS MASUK INDONESIA ??? SIAPA YANG BETLRTANGGUNG JAWAB DAN YANG BISA MENJELASKAN INI KEPADA BANGSA INDONESIA ??? APAKAH PKI GAYA BARU AKAN BERSATU DENGAN TENTARA CINA KOMUNIS MEMBERONTAK NKRI”",Tionghoa,0,0,1,1,0,0,0,0,0,True,True,True,True,True,True,False,False,True,Video “Tentara Cina Komunis Tiongkok Masuk Indonesia”
25,1-1020,"['10', '18', '32']",Jokowi Bebaskan Pajak Selama 120 Tahun untuk WNA yang Tinggal di IKN,"” Rezim Jokowi Menganggap Mereka seperti Teroris Sedangkan Mereka Mempertahankan Tempat tinggal Mereka, Jokowi Memberikan Hak Kepada Orang Asing Terutama Cina Tiongkok Komunis Tinggal di IkN 120 Tahun Tanpa Pajak”",UNKNOWN,0,0,1,1,0,0,0,1,0,True,True,True,True,True,True,False,True,True,Jokowi Bebaskan Pajak Selama 120 Tahun untuk WNA yang Tinggal di IKN
26,1-1021,"['10', '18']",GAMBAR GANJAR PRANOWO BERSALAMAN DENGAN PRESIDEN TIONGKOK,"“BERSIAPLAH INDONESIA AKAN DI MISKINKAN TERNYATA ADA SKENARIO INI ANTARA GANJAR, JOKOWI DAN KOMUNIS CINA
Alamat jadi kacung lagi nih… hingga tega merendahkan bangsanya sendiri.
Yakin cawapres ini jika jika jadi presiden bisa membawa NKRI menjadi negara yang beraulat dan bermartabat..?!!!?”",UNKNOWN,0,1,1,1,0,0,0,0,0,True,True,True,True,False,True,False,True,True,GAMBAR GANJAR PRANOWO BERSALAMAN DENGAN PRESIDEN TIONGKOK
31,1-1026,"['10', '18']",Tank dan Pasukan Bersenjata Dalam Video Ini Situasi Pulau Rempang Siap Tempur,"Liputan6.com, Jakarta- Cek Fakta Liputan6.com mendapati klaim video situasi Pulau Rempang siap tempur, informasi tersebut diunggah salah satu akun Facebook, pada 19 September 2023.
Klaim video situasi Pulau Rempang tank dan pasukan bersenjata siap tempur menampilkan sejumlah orang mengenakan baju loreng hijau dan helm membawa senjata laras panjang berlari di antara bangunan dan diiringi dengan tank yang sedang berjalan serarah orang tersebut. Salah satu dari tank tersebut terdapat tulisan ""MARINIR"".
Dalam video tersebut juga terlihat baliho seorang wanita mengenakan baju puti kerudung merah dan seorang lelaki mengenakan jas berserta dasi dan mengenakan tutup kepala hitam.
Pada baliho tersebut terdapat tulisan yang terbaca ""Hj. EVA DWIANA"".
Dalam video tersebut terdapat tulisan sebagai berikut.
""REMPANG BERGOLAK
""SITUASI REMPANG SIAP TEMPUR TNI/POLRI VA RAKYATTNI/POLRI (Anjing peliharaan komunis)
VS
RAKYAT (yang mempertahankan hak mereka yg dirampok Pengusaha komunis)
JIHAAAAD SAUDARAKU...!!""
Video tersebut diberi keterangan sebagai berikut.
""Rempang bergejolak😢😢
Rempang menjadi harga mati untuk pemerintah walaupun Penduduk Melayu Asli Rempang menjadi korbannya..Apakah ini yg di bilang untuk Rakyat.? Presiden kini mulai blak blakan tentang kericuhan yg terjadi di Rempang.Beliau mengatakan sudah komunikasi, tapi sesungguhnya beliau sedang menindas habis habisan Masyarakat Rempang, tentu ada kaitannya dgn kemenangan salah Satu Paslon Capres dari partai yg sama.. mereka sengaja menarik investor dari cina Agar merai keuntungan besar dalam hal ini Agar bisa memuluskan figur mereka lolos menjadi presiden agar posisi mereka tetap Aman.😡""
Benarkah klaim video situasi Pulau Rempang tank dan pasukan bersenjata siap tempur? Simak penelusuran Cek Fakta Liputan6.com.",UNKNOWN,0,0,1,1,0,0,1,0,0,True,True,True,True,True,True,True,True,True,Tank dan Pasukan Bersenjata Dalam Video Ini Situasi Pulau Rempang Siap Tempur
33,1-1028,"['10', '18', '32']",Maaf yaa druunn🙏 Presiden saya bukan keturunan China atau keturunan ngARAB (ganjar pranowo),,Tionghoa,0,1,1,1,0,0,0,1,0,True,True,True,False,True,True,True,True,True,Maaf yaa druunn🙏 Presiden saya bukan keturunan China atau keturunan ngARAB (ganjar pranowo)
37,1-1031,"['10', '18', '32']","Biar kadrun sadar kalau yg anti Islam itu bukan orang yg bermata sipit tapi orang yg identik dengan mata biru dan bule, ,,, negara isalm yg sudah hancur oleh sekutu Amerika Syiriah Irak Libya Palestina afganistan Lebanon semua hancur bukan karena China tapi Eropa ,,",,Tionghoa,0,0,1,1,0,0,0,1,0,True,True,False,True,False,True,True,False,True,"Biar kadrun sadar kalau yang anti Islam itu bukan orang yang bermata sipit tapi orang yang identik dengan mata biru dan bule, negara Islam yang sudah hancur oleh sekutu Amerika, Syria, Irak, Libya, Palestina, Afganistan, Lebanon; semua hancur bukan karena China tapi Eropa."
39,1-1033,"['10', '18']","China Itu Pinter Menciptakan Yg Serba Palsu,Bikin Matahari Palsu, Bikin Mobil Palsu,Mukidi Berguru Sama Cina Bikin Ijazah Palsu.",,Tionghoa,0,0,1,0,0,0,1,0,0,True,True,True,True,True,True,True,True,True,"China itu pintar menciptakan yang serba palsu, bikin matahari palsu, bikin mobil palsu, Mukidi berguru sama China bikin ijazah palsu."
42,1-1036,"['10', '18', '32']",Ncep gak pernah posting kerja nya Jokowi selama 2 periode Krn proyek cina semua 😝,,Tionghoa,0,0,1,1,0,0,1,1,0,True,True,True,False,True,True,False,False,True,Ncep gak pernah posting kerja nya Jokowi selama 2 periode Krn proyek cina semua 😝
